Product Name,Price,Rating,Seller Name
URBN 20000 mAh Premium Black Edition Nano Power Bank | 22.5W Super Fast Charging | Pocket Size| Dual Type C Power Delivery (PD) Output + 1 USB Output for Quick Charge | Two-Way Fast Charge (Black),"1,799",4.1 out of 5 stars,1K+ bought in past month
"Belkin 2500 mAh Magnetic MagSafe Wireless Power Bank, Sleek Design for iPhone 15, 14, 13 and 12 Series, Compatible with MagSafe Covers – White",999,3.1 out of 5 stars,M.R.P:
"pTron Dynamo Surge 20000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 1 Input & Multiple Layers of Protection (Blue)","1,399",4.1 out of 5 stars,3K+ bought in past month
"Kratos Legend Core Power Bank 10000mah, 22.5W Fast Charging Power Bank with Type C & Dual USB Output, Ultra Slim Powerbank, Compatible for iPhone,Samsung, Oppo, Vivo, Redmi (USB C & USB A Input)",698,4.8 out of 5 stars,500+ bought in past month
"Ambrane 10000mAh Rugged, Slim & Compact Powerbank, 22.5W Fast Charging, USB & Type C Output, Power Delivery, Quick Charge for iPhone, Android & Other Devices (Force 10k, Dark Green)","1,299",4.0 out of 5 stars,1K+ bought in past month
"pTron Dynamo Surge 20000mAh 22.5W Fast Charging Power Bank, Supports VOOC/Wrap/Dash USB Charging, 20W PD Fast Charging, 3 Outputs, 1 Input & Multiple Layers of Protection (Black)","1,399",4.3 out of 5 stars,2K+ bought in past month
"boAt Newly Launched Pocket Energyshroom PB400 Pro 20000mAh | Compact Power Bank w/Type-C Input (2-Way Port), 3X Output Ports,2-Way 22.5W Fast Charging, Pass-Through Charging(Steel Blue)","1,999",4.1 out of 5 stars,1K+ bought in past month
"boAt Newly Launched Pocket Energyshroom PB400 Pro 20000mAh | Compact Power Bank w/Type-C Input (2-Way Port), 3X Output Ports,2-Way 22.5W Fast Charging, Pass-Through Charging(Emerald Green)","1,999",4.1 out of 5 stars,1K+ bought in past month
"Ambrane 20000mAh Powerbank, 22.5W Fast Charging, Triple Output (2 USB & 1 Type C), Power Delivery, Quick Charge for iPhone, Android & Other Devices, Made in India + Type C Cable (Stylo 20, Blue)","1,699",3.9 out of 5 stars,2K+ bought in past month
"Xiaomi Power Bank 10000mAh 22.5W Fast Charging PD | Power Delivery | QC 3.0|Type C Input & Output |Triple Output Ports|Supports Android and Apple, Tablets, Earbuds, Watches etc","1,299",4.2 out of 5 stars,1K+ bought in past month
